Họ và tên,Lớp,Toán,Văn,Anh
Phạm Bảo Minh,10D5,8.5,7.75,9.0
Trần Thảo Châu,10D5,2.5,5.25,0.75
Ngô Đức Minh,10D5,8.0,6.5,2.0
Phạm Thảo Bình,10D5,4.5,1.0,3.0
Lê Gia Kiệt,10D5,9.75,1.75,4.75
Trần Trọng Nhi,10D5,8.25,5.0,5.75
Nguyễn Bảo Châu,10D5,4.0,9.75,2.25
Phạm Gia Minh,10D5,9.75,6.0,1.5
Giang Gia Duy,10D5,3.0,1.5,6.5
Phạm Trà Đạt,10D5,6.25,3.75,6.25
Hoàng Gia Linh,10D5,3.5,3.5,8.5
Hoàng Đức Đạt,10D5,4.0,7.0,3.0
Đinh Trọng Minh,10D5,0.25,2.25,7.25
Phạm Đức An,10D5,0.75,0.0,0.0
Nguyễn Tuấn Tâm,10D5,7.5,9.5,4.25
Lê Tuấn Duy,10D5,0.75,4.0,0.5
Vũ Trọng Thành,10D5,5.5,5.75,2.25
Giang Đức Nhi,10D5,0.0,6.5,3.75
Lê Đức Nhi,10D5,2.5,3.5,9.75
Hoàng Đức Tâm,10D5,6.0,8.75,3.5
Lê Bảo Minh,10D5,7.0,6.5,4.25
Lê Bảo Thành,10D5,6.25,0.5,0.75
Đinh Trà Minh,10D5,2.75,2.25,5.25
Vũ Bảo Đạt,10D5,3.25,7.25,7.0
Trần Đức An,10D5,8.5,2.5,9.0
Vũ Đức Bình,10D5,0.5,9.0,4.0
Hoàng Tuấn Đạt,10D5,1.0,9.75,0.0
Nguyễn Gia Bình,10D5,3.5,4.75,4.25
Hoàng Trà Kiệt,10D5,4.5,5.75,6.0
Giang Trà Khánh,10D5,0.25,9.0,4.25
Giang Tuấn Nhi,10D5,9.25,2.75,1.75
Vũ Thảo Minh,10D5,2.0,7.25,2.75
Đinh Tuấn Minh,10D5,3.0,6.5,6.25
Giang Trọng Khánh,10D5,8.0,0.25,2.5
Giang Trọng Đạt,10D5,3.25,9.25,9.5
Đinh Gia Đạt,10D5,0.25,5.5,3.25
Nguyễn Trà Minh,10D5,2.25,5.25,9.5
Ngô Gia Minh,10D5,5.75,6.0,8.5
Đinh Đức Duy,10D5,5.75,1.5,9.5
Lê Đức Châu,10D5,9.75,7.25,7.0
Trần Thảo Châu,10D5,7.0,3.5,0.5
Giang Trọng Đạt,10D5,6.75,7.5,3.5
Phạm Trọng Bình,10D5,8.75,6.0,3.25
Đinh Bảo Nhi,10D5,1.0,0.5,6.0
Đinh Gia Bình,10D5,6.25,3.75,1.75
Giang Gia Minh,10D5,5.0,4.75,3.75
Ngô Bảo Tâm,10D5,9.0,1.75,7.5
Đinh Trọng Duy,10D5,5.5,10.0,6.25
Phạm Trọng An,10D5,9.25,2.75,8.0
Nguyễn Gia Thành,10D5,8.5,3.0,7.5
